SiteID,Group,Species,Row,Column,germination.spring,germination.fall,survival.spring,survival.fall,tray.damage.spring,tray.damage.fall,damage.notes.spring,damage.notes.fall,notes.spring,notes.fall
CR01,S,psme,D,2,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,3,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,4,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,5,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,6,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,7,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,8,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,9,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,10,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,1,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,2,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,3,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,4,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,5,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,6,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,7,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,8,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,9,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,E,10,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,pico,A,1,0,,0,,0,,,,light,
CR01,S,pico,A,2,0,,0,,0,,,,light,
CR01,S,pico,A,3,0,,0,,0,,,,light,
CR01,S,pico,A,4,0,,0,,0,,,,light,
CR01,S,pico,A,5,1,,1,,0,,,,light,
CR01,S,pico,A,6,0,,0,,0,,,,light,
CR01,S,pico,A,7,0,,0,,0,,,,light,
CR01,S,pico,A,8,0,,0,,0,,,,light,
CR01,S,pico,A,9,0,,0,,0,,,,light,
CR01,S,pico,A,10,0,,0,,0,,,,light,
CR01,S,pico,B,1,0,,0,,0,,,,light,
CR01,S,pico,B,2,0,,0,,0,,,,light,
CR01,S,pico,B,3,0,,0,,0,,,,light,
CR01,S,pico,B,4,0,,0,,0,,,,light,
CR01,S,pico,B,5,0,,0,,0,,,,light,
CR01,S,pico,B,6,0,,0,,0,,,,light,
CR01,S,pico,B,7,0,,0,,0,,,,light,
CR01,S,pico,B,8,0,,0,,0,,,,light,
CR01,S,pico,B,9,0,,0,,0,,,,light,
CR01,S,pico,B,10,0,,0,,0,,,,light,
CR01,S,pico,C,1,0,,0,,0,,,,light,
CR01,S,pico,C,2,0,,0,,0,,,,light,
CR01,S,pico,C,3,0,,0,,0,,,,light,
CR01,S,pico,C,4,0,,0,,0,,,,light,
CR01,S,pico,C,5,0,,0,,0,,,,light,
CR01,S,pico,C,6,0,,0,,0,,,,light,
CR01,S,pico,C,7,0,,0,,0,,,,light,
CR01,S,pico,C,8,0,,0,,0,,,,light,
CR01,S,pico,C,9,0,,0,,0,,,,light,
CR01,S,pico,C,10,0,,0,,0,,,,light,
CR01,S,pico,D,1,0,,0,,0,,,,light,
CR01,S,pico,D,2,0,,0,,0,,,,light,
CR01,S,pico,D,3,0,,0,,0,,,,light,
CR01,S,pico,D,4,0,,0,,0,,,,light,
CR01,S,pico,D,5,0,,0,,0,,,,light,
CR01,S,pico,D,6,0,,0,,0,,,,light,
CR01,S,pico,D,7,0,,0,,0,,,,light,
CR01,S,pico,D,8,0,,0,,0,,,,light,
CR01,S,pico,D,9,0,,0,,0,,,,light,
CR01,S,pico,D,10,0,,0,,0,,,,light,
CR01,S,pico,E,1,0,,0,,0,,,,light,
CR01,S,pico,E,2,0,,0,,0,,,,light,
CR01,S,pico,E,3,0,,0,,0,,,,light,
CR01,S,pico,E,4,0,,0,,0,,,,light,
CR01,S,pico,E,5,0,,0,,0,,,,light,
CR01,S,pico,E,6,0,,0,,0,,,,light,
CR01,S,pico,E,7,0,,0,,0,,,,light,
CR01,S,pico,E,8,0,,0,,0,,,,light,
CR01,S,pico,E,9,0,,0,,0,,,,light,
CR01,S,pico,E,10,0,,0,,0,,,,light,
CR01,S,control,A,1,0,,0,,0,,destroyed,,,
CR01,S,control,A,2,0,,0,,0,,destroyed,,,
CR01,S,control,A,3,0,,0,,0,,destroyed,,,
CR01,S,control,A,4,0,,0,,0,,destroyed,,,
CR01,S,control,A,5,0,,0,,0,,destroyed,,,
CR01,S,control,A,6,0,,0,,0,,destroyed,,,
CR01,S,control,A,7,0,,0,,0,,destroyed,,,
CR01,S,control,A,8,0,,0,,0,,destroyed,,,
CR01,S,control,A,9,0,,0,,0,,destroyed,,,
CR01,S,control,A,10,0,,0,,0,,destroyed,,,
CR01,S,control,B,1,0,,0,,0,,destroyed,,,
CR01,S,control,B,2,0,,0,,0,,destroyed,,,
CR01,S,control,B,3,0,,0,,0,,destroyed,,,
CR01,S,control,B,4,0,,0,,0,,destroyed,,,
CR01,S,control,B,5,0,,0,,0,,destroyed,,,
CR01,S,control,B,6,0,,0,,0,,destroyed,,,
CR01,S,control,B,7,0,,0,,0,,destroyed,,,
CR01,S,control,B,8,0,,0,,0,,destroyed,,,
CR01,S,control,B,9,0,,0,,0,,destroyed,,,
CR01,S,control,B,10,0,,0,,0,,destroyed,,,
CR01,S,control,C,1,0,,0,,0,,destroyed,,,
CR01,S,control,C,2,0,,0,,0,,destroyed,,,
CR01,S,control,C,3,0,,0,,0,,destroyed,,,
CR01,S,control,C,4,0,,0,,0,,destroyed,,,
CR01,S,control,C,5,0,,0,,0,,destroyed,,,
CR01,S,control,C,6,0,,0,,0,,destroyed,,,
CR01,S,control,C,7,0,,0,,0,,destroyed,,,
CR01,S,control,C,8,0,,0,,0,,destroyed,,,
CR01,S,control,C,9,0,,0,,0,,destroyed,,,
CR01,S,control,C,10,0,,0,,0,,destroyed,,,
CR01,S,control,D,1,0,,0,,0,,destroyed,,,
CR01,S,control,D,2,0,,0,,0,,destroyed,,,
CR01,S,control,D,3,0,,0,,0,,destroyed,,,
CR01,S,control,D,4,0,,0,,0,,destroyed,,,
CR01,S,control,D,5,0,,0,,0,,destroyed,,,
CR01,S,control,D,6,0,,0,,0,,destroyed,,,
CR01,S,control,D,7,0,,0,,0,,destroyed,,,
CR01,S,control,D,8,0,,0,,0,,destroyed,,,
CR01,S,control,D,9,0,,0,,0,,destroyed,,,
CR01,S,control,D,10,0,,0,,0,,destroyed,,,
CR01,S,control,E,1,0,,0,,0,,destroyed,,,
CR01,S,control,E,2,0,,0,,0,,destroyed,,,
CR01,S,control,E,3,0,,0,,0,,destroyed,,,
CR01,S,control,E,4,0,,0,,0,,destroyed,,,
CR01,S,control,E,5,0,,0,,0,,destroyed,,,
CR01,S,control,E,6,0,,0,,0,,destroyed,,,
CR01,S,control,E,7,0,,0,,0,,destroyed,,,
CR01,S,control,E,8,0,,0,,0,,destroyed,,,
CR01,S,control,E,9,0,,0,,0,,destroyed,,,
CR01,S,control,E,10,0,,0,,0,,destroyed,,,
CR01,C,psme,A,1,0,,0,,0,,,,,
CR01,C,psme,A,2,0,,0,,0,,,,,
CR01,C,psme,A,3,0,,0,,0,,,,,
CR01,C,psme,A,4,0,,0,,0,,,,,
CR01,C,psme,A,5,0,,0,,0,,,,,
CR01,C,psme,A,6,0,,0,,0,,,,,
CR01,C,psme,A,7,0,,0,,0,,,,,
CR01,C,psme,A,8,0,,0,,0,,,,,
CR01,C,psme,A,9,0,,0,,0,,,,,
CR01,C,psme,A,10,0,,0,,0,,,,,
CR01,C,psme,B,1,0,,0,,0,,,,,
CR01,C,psme,B,2,0,,0,,0,,,,,
CR01,C,psme,B,3,0,,0,,0,,,,,
CR01,C,psme,B,4,0,,0,,0,,,,,
CR01,C,psme,B,5,0,,0,,0,,,,,
CR01,C,psme,B,6,0,,0,,0,,,,,
CR01,C,psme,B,7,0,,0,,0,,,,,
CR01,C,psme,B,8,0,,0,,0,,,,,
CR01,C,psme,B,9,0,,0,,0,,,,,
CR01,C,psme,B,10,0,,0,,0,,,,,
CR01,C,psme,C,1,0,,0,,0,,,,,
CR01,C,psme,C,2,0,,0,,0,,,,,
CR01,C,psme,C,3,0,,0,,0,,,,,
CR01,C,psme,C,4,0,,0,,0,,,,,
CR01,C,psme,C,5,0,,0,,0,,,,,
CR01,C,psme,C,6,0,,0,,0,,,,,
CR01,C,psme,C,7,0,,0,,0,,,,,
CR01,C,psme,C,8,0,,0,,0,,,,,
CR01,C,psme,C,9,0,,0,,0,,,,,
CR01,C,psme,C,10,0,,0,,0,,,,,
CR01,C,psme,D,1,0,,0,,0,,,,,
CR01,C,psme,D,2,0,,0,,0,,,,,
CR01,C,psme,D,3,0,,0,,0,,,,,
CR01,C,psme,D,4,0,,0,,0,,,,,
CR01,C,psme,D,5,0,,0,,0,,,,,
CR01,C,psme,D,6,0,,0,,0,,,,,
CR01,C,psme,D,7,0,,0,,0,,,,,
CR01,C,psme,D,8,0,,0,,0,,,,,
CR01,C,psme,D,9,0,,0,,0,,,,,
CR01,C,psme,D,10,0,,0,,0,,,,,
CR01,C,psme,E,1,0,,0,,0,,,,,
CR01,C,psme,E,2,0,,0,,0,,,,,
CR01,C,psme,E,3,0,,0,,0,,,,,
CR01,C,psme,E,4,0,,0,,0,,,,,
CR01,C,psme,E,5,0,,0,,0,,,,,
CR01,C,psme,E,6,0,,0,,0,,,,,
CR01,C,psme,E,7,0,,0,,0,,,,,
CR01,C,psme,E,8,0,,0,,0,,,,,
CR01,C,psme,E,9,0,,0,,0,,,,,
CR01,C,psme,E,10,0,,0,,0,,,,,
CR01,C,pico,A,1,0,,0,,0,,,,,
CR01,C,pico,A,2,0,,0,,0,,,,,
CR01,C,pico,A,3,0,,0,,0,,,,,
CR01,C,pico,A,4,0,,0,,0,,,,,
CR01,C,pico,A,5,0,,0,,0,,,,,
CR01,C,pico,A,6,0,,0,,0,,,,,
CR01,C,pico,A,7,0,,0,,0,,,,,
CR01,C,pico,A,8,0,,0,,0,,,,,
CR01,C,pico,A,9,0,,0,,0,,,,,
CR01,C,pico,A,10,0,,0,,0,,,,,
CR01,C,pico,B,1,0,,0,,0,,,,,
CR01,C,pico,B,2,0,,0,,0,,,,,
CR01,C,pico,B,3,0,,0,,0,,,,,
CR01,C,pico,B,4,0,,0,,0,,,,,
CR01,C,pico,B,5,0,,0,,0,,,,,
CR01,C,pico,B,6,0,,0,,0,,,,,
CR01,C,pico,B,7,0,,0,,0,,,,,
CR01,C,pico,B,8,0,,0,,0,,,,,
CR01,C,pico,B,9,0,,0,,0,,,,,
CR01,C,pico,B,10,0,,0,,0,,,,,
CR01,C,pico,C,1,0,,0,,0,,,,,
CR01,C,pico,C,2,0,,0,,0,,,,,
CR01,C,pico,C,3,0,,0,,0,,,,,
CR01,C,pico,C,4,0,,0,,0,,,,,
CR01,C,pico,C,5,0,,0,,0,,,,,
CR01,C,pico,C,6,0,,0,,0,,,,,
CR01,C,pico,C,7,0,,0,,0,,,,,
CR01,C,pico,C,8,0,,0,,0,,,,,
CR01,C,pico,C,9,0,,0,,0,,,,,
CR01,C,pico,C,10,0,,0,,0,,,,,
CR01,C,pico,D,1,0,,0,,0,,,,,
CR01,C,pico,D,2,0,,0,,0,,,,,
CR01,C,pico,D,3,0,,0,,0,,,,,
CR01,C,pico,D,4,0,,0,,0,,,,,
CR01,C,pico,D,5,0,,0,,0,,,,,
CR01,C,pico,D,6,0,,0,,0,,,,,
CR01,C,pico,D,7,0,,0,,0,,,,,
CR01,C,pico,D,8,0,,0,,0,,,,,
CR01,C,pico,D,9,0,,0,,0,,,,,
CR01,C,pico,D,10,0,,0,,0,,,,,
CR01,C,pico,E,1,0,,0,,0,,,,,
CR01,C,pico,E,2,0,,0,,0,,,,,
CR01,C,pico,E,3,1,,1,,0,,,,,
CR01,C,pico,E,4,0,,0,,0,,,,,
CR01,C,pico,E,5,0,,0,,0,,,,,
CR01,C,pico,E,6,0,,0,,0,,,,,
CR01,C,pico,E,7,0,,0,,0,,,,,
CR01,C,pico,E,8,0,,0,,0,,,,,
CR01,C,pico,E,9,0,,0,,0,,,,,
CR01,C,pico,E,10,0,,0,,0,,,,,
CR01,C,control,A,1,0,,0,,0,,,,,
CR01,C,control,A,2,0,,0,,0,,,,,
CR01,C,control,A,3,0,,0,,0,,,,,
CR01,C,control,A,4,0,,0,,0,,,,,
CR01,C,control,A,5,0,,0,,0,,,,,
CR01,C,control,A,6,0,,0,,0,,,,,
CR01,C,control,A,7,0,,0,,0,,,,,
CR01,C,control,A,8,0,,0,,0,,,,,
CR01,C,control,A,9,0,,0,,0,,,,,
CR01,C,control,A,10,0,,0,,0,,,,,
CR01,C,control,B,1,0,,0,,0,,,,,
CR01,C,control,B,2,0,,0,,0,,,,,
CR01,C,control,B,3,0,,0,,0,,,,,
CR01,C,control,B,4,0,,0,,0,,,,,
CR01,C,control,B,5,0,,0,,0,,,,,
CR01,C,control,B,6,0,,0,,0,,,,,
CR01,C,control,B,7,0,,0,,0,,,,,
CR01,C,control,B,8,0,,0,,0,,,,,
CR01,C,control,B,9,0,,0,,0,,,,,
CR01,C,control,B,10,0,,0,,0,,,,,
CR01,C,control,C,1,0,,0,,0,,,,,
CR01,C,control,C,2,0,,0,,0,,,,,
CR01,C,control,C,3,0,,0,,0,,,,,
CR01,C,control,C,4,0,,0,,0,,,,,
CR01,C,control,C,5,0,,0,,0,,,,,
CR01,C,control,C,6,0,,0,,0,,,,,
CR01,C,control,C,7,0,,0,,0,,,,,
CR01,C,control,C,8,0,,0,,0,,,,,
CR01,C,control,C,9,0,,0,,0,,,,,
CR01,C,control,C,10,0,,0,,0,,,,,
CR01,C,control,D,1,0,,0,,0,,,,,
CR01,C,control,D,2,0,,0,,0,,,,,
CR01,C,control,D,3,0,,0,,0,,,,,
CR01,C,control,D,4,0,,0,,0,,,,,
CR01,C,control,D,5,0,,0,,0,,,,,
CR01,C,control,D,6,0,,0,,0,,,,,
CR01,C,control,D,7,0,,0,,0,,,,,
CR01,C,control,D,8,0,,0,,0,,,,,
CR01,C,control,D,9,0,,0,,0,,,,,
CR01,C,control,D,10,0,,0,,0,,,,,
CR01,C,control,E,1,0,,0,,0,,,,,
CR01,C,control,E,2,0,,0,,0,,,,,
CR01,C,control,E,3,0,,0,,0,,,,,
CR01,C,control,E,4,0,,0,,0,,,,,
CR01,C,control,E,5,0,,0,,0,,,,,
CR01,C,control,E,6,0,,0,,0,,,,,
CR01,C,control,E,7,0,,0,,0,,,,,
CR01,C,control,E,8,0,,0,,0,,,,,
CR01,C,control,E,9,0,,0,,0,,,,,
CR01,C,control,E,10,0,,0,,0,,,,,
CR01,E,psme,A,1,0,,0,,0,,,,,
CR01,E,psme,A,2,0,,0,,0,,,,,
CR01,E,psme,A,3,0,,0,,0,,,,,
CR01,E,psme,A,4,0,,0,,0,,,,,
CR01,E,psme,A,5,0,,0,,0,,,,,
CR01,E,psme,A,6,0,,0,,0,,,,,
CR01,E,psme,A,7,1,,1,,0,,,,,
CR01,E,psme,A,8,0,,0,,0,,,,,
CR01,E,psme,A,9,0,,0,,0,,,,,
CR01,E,psme,A,10,0,,0,,0,,,,,
CR01,E,psme,B,1,0,,0,,0,,,,,
CR01,E,psme,B,2,0,,0,,0,,,,,
CR01,E,psme,B,3,0,,0,,0,,,,,
CR01,E,psme,B,4,0,,0,,0,,,,,
CR01,E,psme,B,5,0,,0,,0,,,,,
CR01,E,psme,B,6,0,,0,,0,,,,,
CR01,E,psme,B,7,0,,0,,0,,,,,
CR01,E,psme,B,8,0,,0,,0,,,,,
CR01,E,psme,B,9,0,,0,,0,,,,,
CR01,E,psme,B,10,0,,0,,0,,,,,
CR01,E,psme,C,1,0,,0,,0,,,,,
CR01,E,psme,C,2,0,,0,,0,,,,,
CR01,E,psme,C,3,0,,0,,0,,,,,
CR01,E,psme,C,4,0,,0,,0,,,,,
CR01,E,psme,C,5,0,,0,,0,,,,,
CR01,E,psme,C,6,0,,0,,0,,,,,
CR01,E,psme,C,7,0,,0,,0,,,,,
CR01,E,psme,C,8,0,,0,,0,,,,,
CR01,E,psme,C,9,0,,0,,0,,,,,
CR01,E,psme,C,10,0,,0,,0,,,,,
CR01,E,psme,D,1,0,,0,,0,,,,,
CR01,E,psme,D,2,0,,0,,0,,,,,
CR01,E,psme,D,3,0,,0,,0,,,,,
CR01,E,psme,D,4,0,,0,,0,,,,,
CR01,E,psme,D,5,0,,0,,0,,,,,
CR01,E,psme,D,6,0,,0,,0,,,,,
CR01,E,psme,D,7,0,,0,,0,,,,,
CR01,E,psme,D,8,0,,0,,0,,,,,
CR01,E,psme,D,9,0,,0,,0,,,,,
CR01,E,psme,D,10,0,,0,,0,,,,,
CR01,E,psme,E,1,0,,0,,0,,,,,
CR01,E,psme,E,2,0,,0,,0,,,,,
CR01,E,psme,E,3,0,,0,,0,,,,,
CR01,E,psme,E,4,0,,0,,0,,,,,
CR01,E,psme,E,5,0,,0,,0,,,,,
CR01,E,psme,E,6,0,,0,,0,,,,,
CR01,E,psme,E,7,0,,0,,0,,,,,
CR01,E,psme,E,8,0,,0,,0,,,,,
CR01,E,psme,E,9,0,,0,,0,,,,,
CR01,E,psme,E,10,0,,0,,0,,,,,
CR01,E,pico,A,1,0,,0,,0,,,,,
CR01,E,pico,A,2,0,,0,,0,,,,,
CR01,E,pico,A,3,0,,0,,0,,,,,
CR01,E,pico,A,4,0,,0,,0,,,,,
CR01,E,pico,A,5,0,,0,,0,,,,,
CR01,E,pico,A,6,0,,0,,0,,,,,
CR01,E,pico,A,7,1,,1,,0,,,,,
CR01,E,pico,A,8,0,,0,,0,,,,,
CR01,E,pico,A,9,0,,0,,0,,,,,
CR01,E,pico,A,10,0,,0,,0,,,,,
CR01,E,pico,B,1,0,,0,,0,,,,,
CR01,E,pico,B,2,0,,0,,0,,,,,
CR01,E,pico,B,3,0,,0,,0,,,,,
CR01,E,pico,B,4,0,,0,,0,,,,,
CR01,E,pico,B,5,0,,0,,0,,,,,
CR01,E,pico,B,6,0,,0,,0,,,,,
CR01,E,pico,B,7,0,,0,,0,,,,,
CR01,E,pico,B,8,0,,0,,0,,,,,
CR01,E,pico,B,9,0,,0,,0,,,,,
CR01,E,pico,B,10,0,,0,,0,,,,,
CR01,E,pico,C,1,0,,0,,0,,,,,
CR01,E,pico,C,2,0,,0,,0,,,,,
CR01,E,pico,C,3,0,,0,,0,,,,,
CR01,E,pico,C,4,0,,0,,0,,,,,
CR01,E,pico,C,5,0,,0,,0,,,,,
CR01,E,pico,C,6,0,,0,,0,,,,,
CR01,E,pico,C,7,0,,0,,0,,,,,
CR01,E,pico,C,8,0,,0,,0,,,,,
CR01,E,pico,C,9,0,,0,,0,,,,,
CR01,E,pico,C,10,0,,0,,0,,,,,
CR01,E,pico,D,1,0,,0,,0,,,,,
CR01,E,pico,D,2,0,,0,,0,,,,,
CR01,E,pico,D,3,0,,0,,0,,,,,
CR01,E,pico,D,4,1,,1,,0,,,,,
CR01,E,pico,D,5,0,,0,,0,,,,,
CR01,E,pico,D,6,0,,0,,0,,,,,
CR01,E,pico,D,7,0,,0,,0,,,,,
CR01,E,pico,D,8,0,,0,,0,,,,,
CR01,E,pico,D,9,0,,0,,0,,,,,
CR01,E,pico,D,10,0,,0,,0,,,,,
CR01,E,pico,E,1,0,,0,,0,,,,,
CR01,E,pico,E,2,0,,0,,0,,,,,
CR01,E,pico,E,3,0,,0,,0,,,,,
CR01,E,pico,E,4,0,,0,,0,,,,,
CR01,E,pico,E,5,0,,0,,0,,,,,
CR01,E,pico,E,6,0,,0,,0,,,,,
CR01,E,pico,E,7,0,,0,,0,,,,,
CR01,E,pico,E,8,0,,0,,0,,,,,
CR01,E,pico,E,9,0,,0,,0,,,,,
CR01,E,pico,E,10,0,,0,,0,,,,,
CR01,E,control,A,1,0,,0,,0,,,,,
CR01,E,control,A,2,0,,0,,0,,,,,
CR01,E,control,A,3,0,,0,,0,,,,,
CR01,E,control,A,4,0,,0,,0,,,,,
CR01,E,control,A,5,0,,0,,0,,,,,
CR01,E,control,A,6,0,,0,,0,,,,,
CR01,E,control,A,7,0,,0,,0,,,,,
CR01,E,control,A,8,0,,0,,0,,,,,
CR01,E,control,A,9,0,,0,,0,,,,,
CR01,E,control,A,10,0,,0,,0,,,,,
CR01,E,control,B,1,0,,0,,0,,,,,
CR01,E,control,B,2,0,,0,,0,,,,,
CR01,E,control,B,3,0,,0,,0,,,,,
CR01,E,control,B,4,0,,0,,0,,,,,
CR01,E,control,B,5,0,,0,,0,,,,,
CR01,E,control,B,6,0,,0,,0,,,,,
CR01,E,control,B,7,0,,0,,0,,,,,
CR01,E,control,B,8,0,,0,,0,,,,,
CR01,E,control,B,9,0,,0,,0,,,,,
CR01,E,control,B,10,0,,0,,0,,,,,
CR01,E,control,C,1,0,,0,,0,,,,,
CR01,E,control,C,2,0,,0,,0,,,,,
CR01,E,control,C,3,0,,0,,0,,,,,
CR01,E,control,C,4,0,,0,,0,,,,,
CR01,E,control,C,5,0,,0,,0,,,,,
CR01,E,control,C,6,0,,0,,0,,,,,
CR01,E,control,C,7,0,,0,,0,,,,,
CR01,E,control,C,8,0,,0,,0,,,,,
CR01,E,control,C,9,0,,0,,0,,,,,
CR01,E,control,C,10,0,,0,,0,,,,,
CR01,E,control,D,1,0,,0,,0,,,,,
CR01,E,control,D,2,0,,0,,0,,,,,
CR01,E,control,D,3,0,,0,,0,,,,,
CR01,E,control,D,4,0,,0,,0,,,,,
CR01,E,control,D,5,0,,0,,0,,,,,
CR01,E,control,D,6,0,,0,,0,,,,,
CR01,E,control,D,7,0,,0,,0,,,,,
CR01,E,control,D,8,0,,0,,0,,,,,
CR01,E,control,D,9,0,,0,,0,,,,,
CR01,E,control,D,10,0,,0,,0,,,,,
CR01,E,control,E,1,0,,0,,0,,,,,
CR01,E,control,E,2,0,,0,,0,,,,,
CR01,E,control,E,3,0,,0,,0,,,,,
CR01,E,control,E,4,0,,0,,0,,,,,
CR01,E,control,E,5,0,,0,,0,,,,,
CR01,E,control,E,6,0,,0,,0,,,,,
CR01,E,control,E,7,0,,0,,0,,,,,
CR01,E,control,E,8,0,,0,,0,,,,,
CR01,E,control,E,9,0,,0,,0,,,,,
CR01,E,control,E,10,0,,0,,0,,,,,
CR01,N,psme,A,1,0,,0,,0,,,,,
CR01,N,psme,A,2,0,,0,,0,,,,,
CR01,N,psme,A,3,0,,0,,0,,,,,
CR01,N,psme,A,4,0,,0,,0,,,,,
CR01,N,psme,A,5,0,,0,,0,,,,,
CR01,N,psme,A,6,1,,1,,0,,,,,
CR01,N,psme,A,7,0,,0,,0,,,,,
CR01,N,psme,A,8,0,,0,,0,,,,,
CR01,N,psme,A,9,1,,1,,0,,,,,
CR01,N,psme,A,10,0,,0,,0,,,,,
CR01,N,psme,B,1,0,,0,,0,,,,,
CR01,N,psme,B,2,0,,0,,0,,,,,
CR01,N,psme,B,3,0,,0,,0,,,,,
CR01,N,psme,B,4,0,,0,,0,,,,,
CR01,N,psme,B,5,0,,0,,0,,,,,
CR01,N,psme,B,6,0,,0,,0,,,,,
CR01,N,psme,B,7,0,,0,,0,,,,,
CR01,N,psme,B,8,0,,0,,0,,,,,
CR01,N,psme,B,9,1,,1,,0,,,,,
CR01,N,psme,B,10,1,,1,,0,,,,,
CR01,N,psme,C,1,0,,0,,0,,,,,
CR01,N,psme,C,2,0,,0,,0,,,,,
CR01,N,psme,C,3,0,,0,,0,,,,,
CR01,N,psme,C,4,0,,0,,0,,,,,
CR01,N,psme,C,5,0,,0,,0,,,,,
CR01,N,psme,C,6,0,,0,,0,,,,,
CR01,N,psme,C,7,0,,0,,0,,,,,
CR01,N,psme,C,8,1,,1,,0,,,,,
CR01,N,psme,C,9,0,,0,,0,,,,,
CR01,N,psme,C,10,0,,0,,0,,,,,
CR01,N,psme,D,1,0,,0,,0,,,,,
CR01,N,psme,D,2,0,,0,,0,,,,,
CR01,N,psme,D,3,0,,0,,0,,,,,
CR01,N,psme,D,4,0,,0,,0,,,,,
CR01,N,psme,D,5,0,,0,,0,,,,,
CR01,N,psme,D,6,0,,0,,0,,,,,
CR01,N,psme,D,7,0,,0,,0,,,,,
CR01,N,psme,D,8,0,,0,,0,,,,,
CR01,N,psme,D,9,0,,0,,0,,,,,
CR01,N,psme,D,10,0,,0,,0,,,,,
CR01,N,psme,E,1,0,,0,,0,,,,,
CR01,N,psme,E,2,0,,0,,0,,,,,
CR01,N,psme,E,3,0,,0,,0,,,,,
CR01,N,psme,E,4,0,,0,,0,,,,,
CR01,N,psme,E,5,0,,0,,0,,,,,
CR01,N,psme,E,6,0,,0,,0,,,,,
CR01,N,psme,E,7,0,,0,,0,,,,,
CR01,N,psme,E,8,0,,0,,0,,,,,
CR01,N,psme,E,9,0,,0,,0,,,,,
CR01,N,psme,E,10,0,,0,,0,,,,,
CR01,N,pico,A,1,0,,0,,0,,,,,
CR01,N,pico,A,2,0,,0,,0,,,,,
